"FID","FClassTypeID","FClassActionID","FObject","FDefineType","FSourceType","FSourceField","FAction","FExpression","FOrder","FDescription"
"42858","1007006","16","FDecimal14","32768","4096","FAction","FDecimal14,FCheckBox,FCheckBox1",,"1","值更新事件"
"42859","1007006","2","FDecimal14","0","4096","FAction","FDescount=100-100*FDecimal22/(1-FDecimal14/100)*(1+FCess/100)/(1-FDecimal1/100)/FAuxPriceIncludeTax/FDecimal5",,"2","值更新事件"
"42860","1007006","2","FDecimal14","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100",,"3","值更新事件"
"42861","1007006","2","FDecimal14","0","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"4","值更新事件"
"42862","1007006","2","FDecimal14","0","4096","FAction","FDecimal15=FAuxPriceIncludeTax*(1-FDescount/100)/(1-FDecimal/100)",,"5","值更新事件"
"42863","1007006","14","FDecimal14","0","4096","FAction","FAuxPrice",,"6","值更新事件"
"42864","1007006","14","FDecimal2","0","4096","FAction","FDecimal23,FDecimal24",,"1","值更新事件"
"42865","1007006","2","FDecimal23","0","4096","FAction","FDecimal14=FDecimal2","FCurrencyID=1 and FDecimal2>=FDecimal23","1","值更新事件"
"42866","1007006","2","FDecimal23","0","4096","FAction","FDecimal14=FDecimal23","FCurrencyID=1 and FDecimal2<FDecimal23","2","值更新事件"
"42867","1007006","2","FDecimal24","0","4096","FAction","FDecimal14=FDecimal2","FCurrencyID=1000 and FDecimal2>=FDecimal24","1","值更新事件"
"42868","1007006","2","FDecimal24","0","4096","FAction","FDecimal14=FDecimal24","FCurrencyID=1000 and FDecimal2<FDecimal24","2","值更新事件"
"42869","1007006","14","FDecimal4","0","4096","FAction","FAuxPrice",,"1","值更新事件"
"42870","1007006","14","FDecimal6","0","4096","FAction","FAuxPrice",,"1","值更新事件"
"42871","1007006","2","FDescount","0","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"1","值更新事件"
"42872","1007006","2","FDescount","0","4096","FAction","FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)",,"2","值更新事件"
"42873","1007006","2","FDescount","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100","@SysProfileDisCountIncludeTax=1","3","值更新事件"
"42874","1007006","2","FDescount","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount","@SysProfileDisCountIncludeTax=0","4","值更新事件"
"42875","1007006","2","FDescount","0","4096","FAction","FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100",,"5","值更新事件"
"42876","1007006","2","FDescount","0","4096","FAction","FAmountIncludeTax=FAmount+FTaxAmount",,"6","值更新事件"
"42877","1007006","1","FEmpID","0","4096","FAction","FBASEPROPERTY3,FBaseProperty4",,"1","Add by Function SetSouceAction"
"42878","1007006","9","FExchangeRate","0","4096","FSaveRule","FExchangeRate>0,CHS=汇率必须大于0!@CHT=匯率必須大於0!@EN=Exchange rate must be greater than 0 !@,0",,"1","保存规则"
"42879","1007006","1","FItemNumber","32768","4096","FAction","FITEMNAME,FMODEL,FBASEUNIT,FUNITID=FSALEUNITID,FBASEPROPERTY,FBASEPROPERTY1,FDECIMAL19=FSTANDARDCOST,FDECIMAL23=F_171,FDECIMAL24=F_175",,"1","Add by Function SetSouceAction"
"42884","1007006","5","FItemNumber","0","4096","FLoadAction","FAUXQTY,FPRICE1,FAUXPRICE,FAUXPRICEINCLUDETAX,FAUXTAXPRICEDISCOUNT,FAUXQTYFROM,FAUXQTYTO,FSELFDEFINEPRICE1,FSELFDEFINEPRICE2,FSELFDEFINEPRICE3,FSELFDEFINEPRICE4,FPRICE,FQTY,FQTYFROM,FQtyTo",,"1","Add by Function SetSouceAction"
"42880","1007006","5","FItemNumber","32768","4096","FAction","FAUXQTY,FPRICE1,FAUXPRICE,FAUXPRICEINCLUDETAX,FAUXTAXPRICEDISCOUNT,FAUXQTYFROM,FAUXQTYTO,FSELFDEFINEPRICE1,FSELFDEFINEPRICE2,FSELFDEFINEPRICE3,FSELFDEFINEPRICE4,FPRICE,FQTY,FQTYFROM,FQtyTo",,"2","Add by Function SetSouceAction"
"42885","1007006","8","FItemNumber","0","4096","FLoadAction","ME.FAuxClassID=0,FAuxPropID=1,FAuxPropID=0",,"2","加载更新事件"
"42881","1007006","8","FItemNumber","32768","4096","FAction","ME.FAuxClassID=0,FAuxPropID=1,FAuxPropID=0",,"3","值更新事件"
"42882","1007006","100007","FItemNumber","32768","4096","FAction","Para=[P_SystemType=1,P_CompanyType=0,P_CompanyID=FCustID,P_ICItemID=FItemNumber];Return=[P_TaxRate=FCess];BOSAction=[BSA_FillRowType=-1,BSA_ReadRowType=-1]",,"4","值更新事件"
"42883","1007006","100018","FItemNumber","0","4096","FAction","FItemID=FItemNumber,FStockID=,FBathNo=,FAuxProperty=FAuxPropID,FUnitID=FUnitID,FSPID=,FKFDate=,FKFPeriod=",,"5","值更新事件"
"42886","1007006","1","FMapNumber","0","4096","FAction","FMAPNAME",,"1","Add by Function SetSouceAction"
"42887","1007006","3","FUnitID","0","4096","FAction","FAuxQty,FAuxPrice,FAuxPriceIncludeTax,FAuxQtyFrom,FAuxQtyTo",,"1","值更新事件"
"20593","1007006","100024","mnuBasicPriceQuery","0","256","FBillAction","FItemNumber",,"1","单据操作 Action 定义"
"20594","1007006","100026","mnuFileExportBillTpl","0","256","FBillAction",,,"1","单据操作 Action 定义"
"20595","1007006","100027","mnuFileImportBill","0","256","FBillAction",,,"1","单据操作 Action 定义"
"20596","1007006","100005","mnuHistoryPriceQuery","0","256","FBillAction","Para=[P_QueryType=1,P_CompanyID=FCustID,P_ICItemID=FItemNumber];BOSAction=[BSA_ReadRowType=-1]",,"1","单据操作 Action 定义"
"20597","1007006","100021","mnuSendEmail","0","256","FBillAction","FConfigureType=2;FEmpID",,"1","单据操作 Action 定义"
"20598","1007006","100021","mnuSendEmail","0","256","FListAction","FConfigureType=2;FEmpID",,"1","序时簿操作 Action 定义"
"20599","1007006","100021","mnuSendMessage","0","256","FBillAction","FConfigureType=1",,"1","单据操作 Action 定义"
"20600","1007006","100021","mnuSendMessage","0","256","FListAction","FConfigureType=1",,"1","序时簿操作 Action 定义"
"20601","1007006","100021","mnuSendSMS","0","256","FBillAction","FConfigureType=0;FEmpID",,"1","单据操作 Action 定义"
"20602","1007006","100021","mnuSendSMS","0","256","FListAction","FConfigureType=0;FEmpID",,"1","序时簿操作 Action 定义"
"20603","1007006","100019","mnuStockQuery","0","256","FBillAction","FItemNumber=FMaterialNumber,=FMaterialName,=FMaterialModel,FAuxPropID=FAuxPropName,=FBatchNo,=FStockNumber,=FStockName,=FSPNumber,=FSPName,=FKFDate,=FKFPeriod,=FMaturityDate,=FBUUnitName,=FBUQty,FUnitID=FCUUnitName,FAuxQty=FCUUQty,=FSecUnitName,=FSecQty,=FConvRate,=FMTONo",,"1","单据操作 Action 定义"
"20604","1007006","100006","mnuStockStatusQuery","0","256","FBillAction","Para=[P_ICItemID=FItemNumber];BOSAction=[BSA_ReadRowType=-2]",,"1","单据操作 Action 定义"
"20605","1007006","100025","mnuSupplyInfoQuery","0","256","FBillAction","Para=[P_FCustID=FCustID,P_FItemID=FItemNumber];Return=[FCustID=R_FCustID,FItemNumber=R_FItemID,FUnitID=R_FUnitID,=R_FPrice,FCurrencyID=R_FCyID]",,"1","单据操作 Action 定义"

