"FID","FClassTypeID","FPage","FCaption_CHS","FCaption_CHT","FCaption_EN","FKey","FFieldName","FTableName","FTableNameAs","FListIndex","FListClassName","FVisible","FEnable","FNeedSave","FMustInput","FCtlType","FProperty","FLookUpType","FLookUpClassID","FLookUpList","FSRCFieldName","FSRCTableName","FSRCTableNameAs","FDSPFieldName","FFNDFieldName","FValueLocation","FFilter","FFilterGroup","FValueType","FDspColType","FEditlen","FValuePrecision","FSaveRule","FDefValue","FAction","FUserDefine","FNote","FKeyWord","FLeft","FTop","FHeight","FWidth","FCondition","FTabIndex","FLock","FSum","FPrec","FScale","FLayer","FLoadAction","FUnControl","FFont","FSourceType","FSubKey","FParentKey","FConditionExt","FFrameBorder","FFrameBorderColor","FLabelWidth","FLabelColor","FTextColor","FIsF7","FContainer","FStyle"
"13990","1007006","2","折扣率(%)","折扣率(%)","Discount Rate(%)","FDescount","FDescount","PORFQEntry",,"71","0","3071","0","true","false","2",,"0","0","Min= | Max=100",,,,,,"1",,,"106","9","13","13",,,"Calculate{FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)}|Calculate{FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100}|Calculate{FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100}|Calculate{FAmountIncludeTax=FAmount+FTaxAmount}","false",,,"0","0","350","900","1,13","30","-1","false","13","10","0",,"12818","FontName=宋体|FontSize=9|FontBold=True|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"13969","1007006","2","分录内码","分錄內碼","Entry ISN","FDetailID2","FDetailID","PORFQEntry",,"22","0","0","1","false","false","3",,"0","0",,,,,,,"1",,,"56","500","255","4",,,,"false",,"ENTRYKEY","240","120","350","1800","-1","-1","16","false","0","0","0",,"12289",,"0",,,"0","0","0","0","0","0","0",,"0"
"25260","1007006","1","整单折扣额","整單折扣額","Addl Disc. Amt","FDisCount","FDisCount","PORFQ",,"43","0","3071","1","true","false","2",,"0","0","Min=0",,,,,,"1",,,"106","6","28","13",,,"Calculate{FDisCountRateH=0}","false",,"AMOUNT","1415","85","345","1565","0,13","71","4","true","28","2","0",,"16",,"0",,,"0","2","0","1000","0","0","0","FTab,0","0"
"13991","1007006","2","折扣额","折扣額","Discount Amount","FDiscountAmt","FDiscountAmt","PORFQEntry",,"72","0","3071","0","true","false","2","FCurrencyID","0","0",,,,,,,"1",,,"106","6","13","13",,,,"false",,"AMOUNT","0","0","350","915","1,13","31","-1","true","13","2","0",,"8720",,"0",,,"0","2","0","0","0","0","0",,"0"
"25261","1007006","1","整单折扣率(%)","整單折扣率(%)","Addl Disc. Rate (%)","FDisCountRateH","FDisCountRate","PORFQ",,"42","0","3071","1","true","false","2",,"0","0","Min=0 | Max=100",,,,,,"1",,,"106","9","28","13",,,,"false",,,"9210","130","465","2825","1,13","70","4","false","28","2","0",,"16",,"0",,,"0","2","0","1000","0","0","0","FTab,0","0"
"13962","1007006","1","业务员","業務員","Biz. Rep.","FEmpID","FEmpID","PORFQ",,"15","2","4095","0","true","true","1",,"1","3",,"FItemID","t_Emp","t_Emp2","FName","FNumber","1",,,"56","500","255","4",,,,"false",,,"8473","7305","375","1620","0,16","14","20","false","0","10","0",,"13843",,"1",,,"0","2","0","750","0","0","0",,"0"
"13999","1007006","2","源单分录","源單分錄","Source Document Entry","FEntryID_SRC","FSourceEntryID","PORFQEntry",,"84","0","2574","0","true","false","3","FID_SRC","0","0",,,,,,,"1",,,"56","10","10","4",,,,"false",,"SRCENTRYID","0","0","350","450","-1","43","-1","false","0","10","0",,"8224",,"0",,,"0","0","0","0","0","0","0",,"0"
"13970","1007006","2","行号","行號","Row No.","FEntryID2","FEntryID","PORFQEntry",,"48","0","0","1","true","false","3",,"0","0",,,,,,,"1",,,"56","500","255","4",,,,"false",,"INDEX","240","120","350","1800","-1","-1","-1","false","0","0","0",,"8192",,"0",,,"0","0","0","0","0","0","0",,"0"
"14686","1007006","2","分录编号","分錄編號","Entry No.","FEntryNo","FEntryNo","PORFQEntry",,"95","0","12","0","true","false","3",,"0","0",,,,,,,"1",,,"56","10","10","4",,"0",,"false",,,"0","0","350","930","1,13","54","-1","false","0","0","0",,"8208",,"0",,,"0","2","0","0","0","0","0",,"1"
"13956","1007006","1","汇率","匯率","Exchange Rate","FExchangeRate","FExchangeRate","PORFQ",,"9","2","4095","0","true","false","2",,"0","0","Min=0",,,,,,"1",,,"106","9","8","8","Vertify{FExchangeRate>0,CHS=汇率必须大于0!@CHT=匯率必須大於0!@EN=Exchange rate must be greater than 0 !@,0}","1",,"false",,,"3294","2233","375","2835","1,13","8","16","false","53","10","0",,"12818",,"0",,,"0","2","0","1000","0","0","0",,"0"
"17360","1007006","1","汇率类型","匯率類型","Exchange Rate Type","FExchangeRateType","FExchangeRateType","PORFQ",,"4","2","1023","0","true","true","1",,"3","1014001",,"FID","v_BASE_ExRateType",,"FName","FNumber","1",,"0","56","500","255","4",,,,"false",,,"3294","1431","375","2835","0","4","20","false","0","0","0",,"30225",,"1",,,"0","2","0","1000","0","0","0",,"0"
"14000","1007006","2","源单内码","源單內碼","Source Doc. ISN","FID_SRC","FSourceInterId","PORFQEntry",,"85","0","12","0","true","false","3",,"0","0",,,,,,,"1",,,"56","10","10","4",,,,"false",,"SRCID","0","0","350","465","-1","44","-1","false","0","10","0",,"8224",,"0",,,"0","0","0","0","0","0","0",,"0"
"13952","1007006","1","内码","內碼","ISN","FInterID","FInterID","PORFQ",,"6","2","0","1","true","false","3",,"0","0",,,,,,,"1",,,"56","500","255","4",,,,"false",,"PRIMARY","240","120","405","2535","-1","5","16","false","0","0","0",,"12289",,"0",,,"0","2","0","0","0","0","0",,"0"
"13968","1007006","2","单据内码","單據內碼","Doc ISN","FInterID2","FInterID","PORFQEntry",,"46","0","0","1","true","true","3",,"0","0",,,,,,,"1",,,"56","500","255","4",,,,"false",,"PARENTID","240","120","350","1800","-1","-1","16","false","0","0","0",,"12289",,"0",,,"0","0","0","0","0","0","0",,"0"
