"FID","FClassTypeID","FClassActionID","FObject","FDefineType","FSourceType","FSourceField","FAction","FExpression","FOrder","FDescription"
"29002","1007006","100018","FItemNumber","0","4096","FAction","FItemID=FItemNumber,FStockID=,FBathNo=,FAuxProperty=FAuxPropID,FUnitID=FUnitID,FSPID=,FKFDate=,FKFPeriod=",,"6","值更新事件"
"29005","1007006","1","FMapNumber","0","4096","FAction","FMAPNAME",,"1","Add by Function SetSouceAction"
"29006","1007006","3","FUnitID","0","4096","FAction","FAuxQty,FAuxPrice,FAuxPriceIncludeTax,FAuxQtyFrom,FAuxQtyTo",,"1","值更新事件"
"20593","1007006","100024","mnuBasicPriceQuery","0","256","FBillAction","FItemNumber",,"1","单据操作 Action 定义"
"20594","1007006","100026","mnuFileExportBillTpl","0","256","FBillAction",,,"1","单据操作 Action 定义"
"20595","1007006","100027","mnuFileImportBill","0","256","FBillAction",,,"1","单据操作 Action 定义"
"20596","1007006","100005","mnuHistoryPriceQuery","0","256","FBillAction","Para=[P_QueryType=1,P_CompanyID=FCustID,P_ICItemID=FItemNumber];BOSAction=[BSA_ReadRowType=-1]",,"1","单据操作 Action 定义"
"20597","1007006","100021","mnuSendEmail","0","256","FBillAction","FConfigureType=2;FEmpID",,"1","单据操作 Action 定义"
"20598","1007006","100021","mnuSendEmail","0","256","FListAction","FConfigureType=2;FEmpID",,"1","序时簿操作 Action 定义"
"20599","1007006","100021","mnuSendMessage","0","256","FBillAction","FConfigureType=1",,"1","单据操作 Action 定义"
"20600","1007006","100021","mnuSendMessage","0","256","FListAction","FConfigureType=1",,"1","序时簿操作 Action 定义"
"20601","1007006","100021","mnuSendSMS","0","256","FBillAction","FConfigureType=0;FEmpID",,"1","单据操作 Action 定义"
"20602","1007006","100021","mnuSendSMS","0","256","FListAction","FConfigureType=0;FEmpID",,"1","序时簿操作 Action 定义"
"20603","1007006","100019","mnuStockQuery","0","256","FBillAction","FItemNumber=FMaterialNumber,=FMaterialName,=FMaterialModel,FAuxPropID=FAuxPropName,=FBatchNo,=FStockNumber,=FStockName,=FSPNumber,=FSPName,=FKFDate,=FKFPeriod,=FMaturityDate,=FBUUnitName,=FBUQty,FUnitID=FCUUnitName,FAuxQty=FCUUQty,=FSecUnitName,=FSecQty,=FConvRate,=FMTONo",,"1","单据操作 Action 定义"
"20604","1007006","100006","mnuStockStatusQuery","0","256","FBillAction","Para=[P_ICItemID=FItemNumber];BOSAction=[BSA_ReadRowType=-2]",,"1","单据操作 Action 定义"
"20605","1007006","100025","mnuSupplyInfoQuery","0","256","FBillAction","Para=[P_FCustID=FCustID,P_FItemID=FItemNumber];Return=[FCustID=R_FCustID,FItemNumber=R_FItemID,FUnitID=R_FUnitID,=R_FPrice,FCurrencyID=R_FCyID]",,"1","单据操作 Action 定义"

