"FEntryID","FOperSN","FOperID","FBrNO","FWorkCenterID","FNote","FTimeUnit","FLeadTime","FTimeRun","FTimeSetup","FInterID","FitemID","FWorkQty","FMoveTime","FqualityChkID","Ffare","FQualityShcemeID","FMoveQty","FAutoTD","FAutoOF","FIsOut","FFee","FSupplyID","FFManagerID","FTeamID","FWorkerID","FDeviceID","FResourceCount","FConversion","FPieceRate","FCheckCycle","FProcParam","FNewEntryID","FIndex","FMachStdTimeRun","FMachStdTimeSetup","FPersonStdTimeRun","FPersonStdTimeSetup","FEntrySelfZ0236","FEntrySelfZ0237"
"10","100","40145","0","216914",,"11082","0E-10","1.0000000000","0E-10","3368","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40390","0","1020","1","1.0000000000","0.2800000000","0E-10",,"331170","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"11","110","40146","0","216915",,"11082","0E-10","1.0000000000","0E-10","3368","0","100.0000000000","0E-10","351","1059","1004","1.0000000000","1058","1058","1059","0E-10","0","0","40348","0","1021","1","1.0000000000","0.5120000000","0E-10",,"331171","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"1","10","40002","0","211682",,"11082","0E-10","1.0000000000","0E-10","3369","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40391","0","1003","1","1.0000000000","1.1800000000","0E-10",,"69661","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"2","20","40129","0","211682",,"11082","0E-10","1.0000000000","0E-10","3369","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40391","0","1029","1","1.0000000000","0.0650000000","0E-10",,"69662","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","5.0000000000"
"3","30","40003","0","216908",,"11082","0E-10","1.0000000000","0E-10","3369","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40149","0","1009","1","1.0000000000","0.2110000000","0E-10",,"69663","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","4.0000000000"
"4","40","40336","0","216909",,"11082","0E-10","1.0000000000","0E-10","3369","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40160","0","1023","1","1.0000000000","1.2500000000","0E-10",,"69664","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"5","50","40004","0","216910",,"11082","0E-10","1.0000000000","0E-10","3369","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40159","0","1026","1","1.0000000000","0.2550000000","0E-10",,"69665","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","3.0000000000"
"6","60","40133","0","216911",,"11082","0E-10","1.0000000000","0E-10","3369","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","0","58287","1018","1","1.0000000000","0.2300000000","0E-10",,"69666","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"7","70","40140","0","13389",,"11082","0E-10","1.0000000000","0E-10","3369","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","0","211408","1000","1","1.0000000000","0.6000000000","0E-10",,"69667","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"8","80","40142","0","216912",,"11082","0E-10","1.0000000000","0E-10","3369","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40176","0","1022","1","1.0000000000","0.3640000000","0E-10",,"69668","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"9","90","40145","0","216914",,"11082","0E-10","1.0000000000","0E-10","3369","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40166","0","1020","1","1.0000000000","0.2800000000","0E-10",,"69669","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"10","100","40146","0","216915",,"11082","0E-10","1.0000000000","0E-10","3369","0","100.0000000000","0E-10","351","1059","1004","1.0000000000","1058","1058","1059","0E-10","0","0","40348","0","1021","1","1.0000000000","0.5120000000","0E-10",,"69670","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"1","10","40002","0","211682",,"11082","0E-10","1.0000000000","0E-10","3380","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40148","57955","1003","1","1.0000000000","1.1800000000","0E-10",,"28972","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"2","20","40129","0","211682",,"11082","0E-10","1.0000000000","0E-10","3380","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40148","57973","1029","1","1.0000000000","0.0650000000","0E-10",,"28973","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","5.0000000000"
"3","30","40003","0","216908",,"11082","0E-10","1.0000000000","0E-10","3380","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40149","0","1009","1","1.0000000000","0.2110000000","0E-10",,"28974","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","5.0000000000"
"4","40","40336","0","216909",,"11082","0E-10","1.0000000000","0E-10","3380","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40160","0","1023","1","1.0000000000","1.2500000000","0E-10",,"28975","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"5","50","40004","0","216910",,"11082","0E-10","1.0000000000","0E-10","3380","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40159","0","1026","1","1.0000000000","0.2550000000","0E-10",,"28976","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","4.0000000000"
"6","60","40133","0","216911",,"11082","0E-10","1.0000000000","0E-10","3380","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40161","211398","1018","1","1.0000000000","0.2300000000","0E-10",,"28977","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"7","70","40140","0","13389",,"11082","0E-10","1.0000000000","0E-10","3380","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40161","211408","1000","1","1.0000000000","0.6000000000","0E-10",,"28978","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"8","80","40142","0","216912",,"11082","0E-10","1.0000000000","0E-10","3380","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40176","58042","1022","1","1.0000000000","0.3640000000","0E-10",,"28979","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"9","90","40143","0","216913",,"11082","0E-10","1.0000000000","0E-10","3380","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40150","57940","1047","1","1.0000000000","0.4000000000","0E-10",,"28980","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"10","100","40145","0","216914",,"11082","0E-10","1.0000000000","0E-10","3380","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40150","58344","1020","1","1.0000000000","0.2800000000","0E-10",,"28981","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"11","110","40146","0","216915",,"11082","0E-10","1.0000000000","0E-10","3380","0","100.0000000000","0E-10","351","1059","1004","1.0000000000","1058","1058","1059","0E-10","0","0","40150","211418","1021","1","1.0000000000","0.5120000000","0E-10",,"28982","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
